variant,roi_index,roi_name,n,accuracy,balanced_accuracy,f1_class1,auroc,auprc,brier_score,mean_true_confidence,tn,fp,fn,tp,roi_pixels
shift_down_1,6,right_cheek_zygomatic,1171,0.6712211784799317,0.6450433094384708,0.5497076023391813,0.6976045400238948,0.6110816710699614,0.2261869933725307,0.6101343631744385,551,124,261,235,126
shift_down_1,7,perioral_mouth,1171,0.5892399658411615,0.5771400836320191,0.5066666666666667,0.5901821983273596,0.532520265669735,0.26587816435983325,0.537137508392334,443,232,249,247,64
shift_down_1,8,chin_mandible,1171,0.5832621690862511,0.5625985663082438,0.46491228070175433,0.5955406212664277,0.5117797218146622,0.26490160753836367,0.5514512062072754,471,204,284,212,60
shift_left_1,1,upper_brow_forehead,1171,0.5747224594363791,0.5856660692951016,0.5669565217391304,0.640379330943847,0.5926326586237681,0.2743512272520078,0.559850811958313,347,328,170,326,192
shift_left_1,2,left_periocular,1171,0.5764304013663536,0.5818010752688172,0.5523465703971119,0.618452807646356,0.5096620951996575,0.2536849563834904,0.5463274121284485,369,306,190,306,91
shift_left_1,3,right_periocular,1171,0.5576430401366353,0.5922371565113501,0.6105263157894737,0.6666726403823179,0.6049871661701083,0.27059221949960593,0.5364418029785156,247,428,90,406,98
shift_left_1,4,nasal_midface,1171,0.5499573014517506,0.5478778375149342,0.5014191106906339,0.5862096774193548,0.5148138043613253,0.2763697799955943,0.5282320380210876,379,296,231,265,56
shift_left_1,5,left_cheek_zygomatic,1171,0.5935098206660974,0.5899327956989247,0.5414258188824663,0.6249074074074075,0.5855057453433227,0.26794357043111344,0.5658150911331177,414,261,215,281,117
shift_left_1,6,right_cheek_zygomatic,1171,0.6857386848847139,0.6664575866188769,0.5929203539823008,0.7144802867383513,0.6415747559212133,0.21807935738256765,0.6174157857894897,535,140,228,268,126
shift_left_1,7,perioral_mouth,1171,0.5704526046114432,0.5616457586618877,0.4985044865403789,0.5547401433691757,0.4984989090828225,0.28843189762667754,0.5194416046142578,418,257,246,250,64
shift_left_1,8,chin_mandible,1171,0.609735269000854,0.5946505376344087,0.5184404636459431,0.6329032258064516,0.5801538995553845,0.2674178981788806,0.5806795954704285,468,207,250,246,80
shift_right_1,1,upper_brow_forehead,1171,0.587532023911187,0.6109453405017922,0.6107977437550363,0.6869026284348865,0.6353256309632342,0.2714751765875337,0.5722485780715942,309,366,117,379,192
shift_right_1,2,left_periocular,1171,0.5858240819812126,0.5840681003584229,0.5394112060778727,0.6054450418160096,0.4953261164642219,0.2568746731838871,0.5398975610733032,402,273,212,284,98
shift_right_1,3,right_periocular,1171,0.5533731853116994,0.5898700716845878,0.6111524163568773,0.6750507765830346,0.6173381049907748,0.2651713580674034,0.5379153490066528,237,438,85,411,91
