test_id,test_index,nearest_mse_train_id,nearest_mse_train_index,nearest_mse,nearest_rmse,nearest_cosine_at_mse,nearest_cosine_train_id,nearest_cosine_train_index,max_cosine,mse_at_max_cosine,y_test,y_train_nearest_mse,label_conflict_nearest_mse,near_mse_flag,near_cosine_flag
test_0901,901,train_0901,901,0.0024822652339935303,0.04982233792543411,0.9943522810935974,train_0901,901,0.9943522810935974,0.0024822652339935303,0,0,False,False,False
test_0902,902,train_0902,902,0.0030246078968048096,0.05499643459916115,0.9917693734169006,train_0901,901,0.9928981065750122,0.003984123468399048,0,0,False,False,False
test_0903,903,train_0902,902,0.00256425142288208,0.050638437271118164,0.9930176734924316,train_0902,902,0.9930176734924316,0.00256425142288208,0,0,False,False,False
test_0904,904,train_0905,905,0.00863984227180481,0.09295075386762619,0.9786086678504944,train_0905,905,0.9786086678504944,0.00863984227180481,0,0,False,False,False
test_0905,905,train_0906,906,0.001819521188735962,0.04265584424138069,0.9946895837783813,train_0906,906,0.9946895837783813,0.001819521188735962,0,0,False,False,False
test_0906,906,train_0906,906,0.005531609058380127,0.07437478750944138,0.9846655130386353,train_0906,906,0.9846655130386353,0.005531609058380127,0,0,False,False,False
test_0907,907,train_0907,907,0.01849442720413208,0.13599421083927155,0.9687851071357727,train_0915,915,0.9702631235122681,0.02070397138595581,1,1,False,False,False
test_0908,908,train_0913,913,0.007744103670120239,0.08800058811903,0.9794470071792603,train_0913,913,0.9794470071792603,0.007744103670120239,1,1,False,False,False
test_0909,909,train_0910,910,0.008591324090957642,0.0926893949508667,0.9820756912231445,train_0910,910,0.9820756912231445,0.008591324090957642,1,1,False,False,False
test_0910,910,train_0911,911,0.010921359062194824,0.10450530797243118,0.9748550653457642,train_0911,911,0.9748550653457642,0.010921359062194824,1,1,False,False,False
test_0911,911,train_0912,912,0.010482966899871826,0.10238636285066605,0.983902096748352,train_0912,912,0.983902096748352,0.010482966899871826,1,1,False,False,False
test_0912,912,train_0908,908,0.008056432008743286,0.08975762873888016,0.9816954135894775,train_0908,908,0.9816954135894775,0.008056432008743286,1,1,False,False,False
