test_id,test_index,nearest_mse_train_id,nearest_mse_train_index,nearest_mse,nearest_rmse,nearest_cosine_at_mse,nearest_cosine_train_id,nearest_cosine_train_index,max_cosine,mse_at_max_cosine,y_test,y_train_nearest_mse,label_conflict_nearest_mse,near_mse_flag,near_cosine_flag
test_0023,23,train_0023,23,0.001094728708267212,0.033086683601140976,0.9959009289741516,train_0023,23,0.9959009289741516,0.001094728708267212,0,0,False,False,False
test_0570,570,train_0572,572,0.0011152029037475586,0.03339465335011482,0.9981486201286316,train_0572,572,0.9981486201286316,0.0011152029037475586,0,0,False,False,False
test_0855,855,train_0855,855,0.001128852367401123,0.0335983969271183,0.9979050755500793,train_0855,855,0.9979050755500793,0.001128852367401123,0,0,False,False,False
test_0149,149,train_0145,145,0.0011518299579620361,0.03393862023949623,0.9969586133956909,train_0145,145,0.9969586133956909,0.0011518299579620361,0,0,False,False,False
test_0100,100,train_0101,101,0.0011647045612335205,0.034127768129110336,0.9964844584465027,train_0101,101,0.9964844584465027,0.0011647045612335205,0,0,False,False,False
test_0623,623,train_0624,624,0.0011652112007141113,0.03413518890738487,0.9979667067527771,train_0624,624,0.9979667067527771,0.0011652112007141113,0,0,False,False,False
test_0980,980,train_0981,981,0.0011799633502960205,0.034350596368312836,0.9958496689796448,train_0981,981,0.9958496689796448,0.0011799633502960205,0,0,False,False,False
test_0213,213,train_0211,211,0.001180201768875122,0.034354064613580704,0.9970088601112366,train_0211,211,0.9970088601112366,0.001180201768875122,0,0,False,False,False
test_0198,198,train_0201,201,0.001180797815322876,0.03436273708939552,0.9964669942855835,train_0201,201,0.9964669942855835,0.001180797815322876,0,0,False,False,False
test_0539,539,train_0539,539,0.0011876225471496582,0.03446190059185028,0.9981726408004761,train_0539,539,0.9981726408004761,0.0011876225471496582,0,0,False,False,False
test_1106,1106,train_1108,1108,0.0011904537677764893,0.03450295329093933,0.996114194393158,train_1108,1108,0.996114194393158,0.0011904537677764893,0,0,False,False,False
test_1137,1137,train_1136,1136,0.0011919736862182617,0.03452497348189354,0.9974942207336426,train_1136,1136,0.9974942207336426,0.0011919736862182617,0,0,False,False,False
