recall,precision
0.24193548387096775,0.9836065573770492
0.2439516129032258,0.983739837398374
0.24596774193548387,0.9838709677419355
0.24798387096774194,0.984
0.25,0.9841269841269841
0.25201612903225806,0.984251968503937
0.2540322580645161,0.984375
0.2560483870967742,0.9844961240310077
0.25806451612903225,0.9846153846153847
0.2600806451612903,0.9847328244274809
0.2620967741935484,0.9848484848484849
0.26411290322580644,0.9849624060150376
0.2661290322580645,0.9850746268656716
0.26814516129032256,0.9851851851851852
0.2701612903225806,0.9852941176470589
0.2721774193548387,0.9854014598540146
0.27419354838709675,0.9855072463768116
0.2762096774193548,0.9856115107913669
0.2782258064516129,0.9857142857142858
0.28024193548387094,0.9858156028368794
0.28225806451612906,0.9859154929577465
0.2842741935483871,0.986013986013986
0.2862903225806452,0.9861111111111112
0.28830645161290325,0.9862068965517241
0.2903225806451613,0.9863013698630136
0.2923387096774194,0.9863945578231292
0.29435483870967744,0.9864864864864865
0.2963709677419355,0.9865771812080537
0.29838709677419356,0.9866666666666667
0.3004032258064516,0.9867549668874173
0.3004032258064516,0.9802631578947368
0.3024193548387097,0.9803921568627451
0.30443548387096775,0.9805194805194806
0.3064516129032258,0.9806451612903225
0.3084677419354839,0.9807692307692307
0.31048387096774194,0.9808917197452229
0.3125,0.9810126582278481
0.31451612903225806,0.9811320754716981
0.3165322580645161,0.98125
0.3185483870967742,0.9813664596273292
0.32056451612903225,0.9814814814814815
0.3225806451612903,0.9815950920245399
0.3245967741935484,0.9817073170731707
0.32661290322580644,0.9818181818181818
0.3286290322580645,0.9819277108433735
0.33064516129032256,0.9820359281437125
0.3326612903225806,0.9821428571428571
0.3346774193548387,0.9822485207100592
0.33669354838709675,0.9823529411764705
0.3387096774193548,0.9824561403508771
0.3407258064516129,0.9825581395348837
0.34274193548387094,0.9826589595375722
0.34475806451612906,0.9827586206896551
0.3467741935483871,0.9828571428571429
0.3487903225806452,0.9829545454545454
0.35080645161290325,0.9830508474576272
0.3528225806451613,0.9831460674157303
0.3548387096774194,0.9832402234636871
0.35685483870967744,0.9833333333333333
0.3588709677419355,0.9834254143646409
0.36088709677419356,0.9835164835164835
0.3629032258064516,0.9836065573770492
0.3649193548387097,0.9836956521739131
0.36693548387096775,0.9837837837837838
0.3689516129032258,0.9838709677419355
0.3709677419354839,0.983957219251337
0.37298387096774194,0.9840425531914894
0.375,0.9841269841269841
0.37701612903225806,0.9842105263157894
0.3790322580645161,0.9842931937172775
0.3810483870967742,0.984375
0.38306451612903225,0.9844559585492227
0.3850806451612903,0.9845360824742269
0.3870967741935484,0.9846153846153847
0.38911290322580644,0.9846938775510204
0.3911290322580645,0.9847715736040609
0.39314516129032256,0.9848484848484849
0.3951612903225806,0.9849246231155779
0.3971774193548387,0.985
0.39919354838709675,0.9850746268656716
0.4012096774193548,0.9851485148514851
0.4032258064516129,0.9852216748768473
0.40524193548387094,0.9852941176470589
0.40725806451612906,0.9853658536585366
0.4092741935483871,0.9854368932038835
0.4112903225806452,0.9855072463768116
0.41330645161290325,0.9855769230769231
0.4153225806451613,0.9856459330143541
0.4173387096774194,0.9857142857142858
0.41935483870967744,0.985781990521327
0.4213709677419355,0.9858490566037735
0.42338709677419356,0.9859154929577465
0.4254032258064516,0.985981308411215
0.4274193548387097,0.986046511627907
0.42943548387096775,0.9861111111111112
0.4314516129032258,0.9861751152073732
0.4334677419354839,0.9862385321100917
0.43548387096774194,0.9863013698630136
0.4375,0.9863636363636363
0.43951612903225806,0.9864253393665159
0.4415322580645161,0.9864864864864865
0.4435483870967742,0.9865470852017937
0.44556451612903225,0.9866071428571429
0.4475806451612903,0.9866666666666667
0.4495967741935484,0.9867256637168141
0.45161290322580644,0.986784140969163
0.4536290322580645,0.9868421052631579
0.45564516129032256,0.9868995633187773
0.4576612903225806,0.9869565217391304
0.4596774193548387,0.987012987012987
0.46169354838709675,0.9870689655172413
0.4637096774193548,0.9871244635193133
0.4657258064516129,0.9871794871794872
0.46774193548387094,0.9872340425531915
0.46975806451612906,0.9872881355932204
0.4717741935483871,0.9873417721518988
0.4737903225806452,0.9873949579831933
0.47580645161290325,0.9874476987447699
0.4778225806451613,0.9875
0.4798387096774194,0.9875518672199171
0.48185483870967744,0.987603305785124
0.4838709677419355,0.9876543209876543
0.48588709677419356,0.9877049180327869
0.4879032258064516,0.9877551020408163
0.4899193548387097,0.9878048780487805
0.49193548387096775,0.9878542510121457
0.4939516129032258,0.9879032258064516
0.4959677419354839,0.9879518072289156
0.49798387096774194,0.988
0.5,0.9880478087649402
0.5020161290322581,0.9880952380952381
0.5040322580645161,0.9881422924901185
0.5060483870967742,0.9881889763779528
0.5080645161290323,0.9882352941176471
0.5100806451612904,0.98828125
0.5120967741935484,0.9883268482490273
0.5141129032258065,0.9883720930232558
0.5161290322580645,0.9884169884169884
0.5181451612903226,0.9884615384615385
0.5201612903225806,0.9885057471264368
0.5221774193548387,0.9885496183206107
0.5241935483870968,0.9885931558935361
0.5262096774193549,0.9886363636363636
0.5282258064516129,0.9886792452830189
0.530241935483871,0.9887218045112782
0.532258064516129,0.9887640449438202
0.5342741935483871,0.9888059701492538
0.5362903225806451,0.9888475836431226
0.5383064516129032,0.9888888888888889
0.5403225806451613,0.988929889298893
0.5423387096774194,0.9889705882352942
0.5443548387096774,0.989010989010989
0.5463709677419355,0.9890510948905109
0.5483870967741935,0.9890909090909091
0.5504032258064516,0.9891304347826086
0.5524193548387096,0.9891696750902527
0.5544354838709677,0.9892086330935251
0.5564516129032258,0.989247311827957
0.5584677419354839,0.9892857142857143
0.5604838709677419,0.9893238434163701
0.5625,0.9893617021276596
0.5645161290322581,0.9893992932862191
0.5665322580645161,0.9894366197183099
