fpr,tpr
0.0044444444444444444,0.6129032258064516
0.0044444444444444444,0.6149193548387096
0.0044444444444444444,0.6169354838709677
0.0044444444444444444,0.6189516129032258
0.0044444444444444444,0.6209677419354839
0.0044444444444444444,0.6229838709677419
0.0044444444444444444,0.625
0.0044444444444444444,0.6270161290322581
0.0044444444444444444,0.6290322580645161
0.0044444444444444444,0.6310483870967742
0.0044444444444444444,0.6330645161290323
0.0044444444444444444,0.6350806451612904
0.0044444444444444444,0.6370967741935484
0.0044444444444444444,0.6391129032258065
0.0044444444444444444,0.6411290322580645
0.0044444444444444444,0.6431451612903226
0.0044444444444444444,0.6451612903225806
0.0044444444444444444,0.6471774193548387
0.0044444444444444444,0.6491935483870968
0.0044444444444444444,0.6512096774193549
0.0044444444444444444,0.6532258064516129
0.0044444444444444444,0.655241935483871
0.0044444444444444444,0.657258064516129
0.0044444444444444444,0.6592741935483871
0.0044444444444444444,0.6612903225806451
0.0044444444444444444,0.6633064516129032
0.0044444444444444444,0.6653225806451613
0.0044444444444444444,0.6673387096774194
0.0044444444444444444,0.6693548387096774
0.0044444444444444444,0.6713709677419355
0.0044444444444444444,0.6733870967741935
0.0044444444444444444,0.6754032258064516
0.0044444444444444444,0.6774193548387096
0.0044444444444444444,0.6794354838709677
0.0044444444444444444,0.6814516129032258
0.0044444444444444444,0.6834677419354839
0.0044444444444444444,0.6854838709677419
0.0044444444444444444,0.6875
0.0044444444444444444,0.6895161290322581
0.0044444444444444444,0.6915322580645161
0.0044444444444444444,0.6935483870967742
0.0044444444444444444,0.6955645161290323
0.0044444444444444444,0.6975806451612904
0.0044444444444444444,0.6995967741935484
0.005925925925925926,0.6995967741935484
0.007407407407407408,0.6995967741935484
0.007407407407407408,0.7016129032258065
0.007407407407407408,0.7036290322580645
0.007407407407407408,0.7056451612903226
0.007407407407407408,0.7076612903225806
0.007407407407407408,0.7096774193548387
0.007407407407407408,0.7116935483870968
0.007407407407407408,0.7137096774193549
0.007407407407407408,0.7157258064516129
0.007407407407407408,0.717741935483871
0.007407407407407408,0.719758064516129
0.007407407407407408,0.7217741935483871
0.007407407407407408,0.7237903225806451
0.007407407407407408,0.7258064516129032
0.007407407407407408,0.7278225806451613
0.007407407407407408,0.7298387096774194
0.007407407407407408,0.7318548387096774
0.007407407407407408,0.7338709677419355
0.007407407407407408,0.7358870967741935
0.007407407407407408,0.7379032258064516
0.007407407407407408,0.7399193548387096
0.007407407407407408,0.7419354838709677
0.007407407407407408,0.7439516129032258
0.007407407407407408,0.7459677419354839
0.007407407407407408,0.7479838709677419
0.007407407407407408,0.75
0.007407407407407408,0.7520161290322581
0.007407407407407408,0.7540322580645161
0.007407407407407408,0.7560483870967742
0.007407407407407408,0.7580645161290323
0.007407407407407408,0.7600806451612904
0.007407407407407408,0.7620967741935484
0.007407407407407408,0.7641129032258065
0.007407407407407408,0.7661290322580645
0.007407407407407408,0.7681451612903226
0.007407407407407408,0.7701612903225806
0.007407407407407408,0.7721774193548387
0.007407407407407408,0.7741935483870968
0.007407407407407408,0.7762096774193549
0.007407407407407408,0.7782258064516129
0.007407407407407408,0.780241935483871
0.008888888888888889,0.780241935483871
0.008888888888888889,0.782258064516129
0.008888888888888889,0.7842741935483871
0.008888888888888889,0.7862903225806451
0.008888888888888889,0.7883064516129032
0.008888888888888889,0.7903225806451613
0.008888888888888889,0.7923387096774194
0.008888888888888889,0.7943548387096774
0.008888888888888889,0.7963709677419355
0.008888888888888889,0.7983870967741935
0.008888888888888889,0.8004032258064516
0.008888888888888889,0.8024193548387096
0.008888888888888889,0.8044354838709677
0.008888888888888889,0.8064516129032258
0.008888888888888889,0.8084677419354839
0.008888888888888889,0.8104838709677419
0.008888888888888889,0.8125
0.008888888888888889,0.8145161290322581
0.008888888888888889,0.8165322580645161
0.008888888888888889,0.8185483870967742
0.008888888888888889,0.8205645161290323
0.008888888888888889,0.8225806451612904
0.008888888888888889,0.8245967741935484
0.008888888888888889,0.8266129032258065
0.008888888888888889,0.8286290322580645
0.008888888888888889,0.8306451612903226
0.008888888888888889,0.8326612903225806
0.008888888888888889,0.8346774193548387
0.008888888888888889,0.8366935483870968
0.008888888888888889,0.8387096774193549
0.008888888888888889,0.8407258064516129
0.008888888888888889,0.842741935483871
0.01037037037037037,0.842741935483871
0.01037037037037037,0.844758064516129
0.01037037037037037,0.8467741935483871
0.01037037037037037,0.8487903225806451
0.01037037037037037,0.8508064516129032
0.01037037037037037,0.8528225806451613
0.01037037037037037,0.8548387096774194
0.01037037037037037,0.8568548387096774
0.01037037037037037,0.8588709677419355
0.01037037037037037,0.8608870967741935
0.011851851851851851,0.8608870967741935
0.011851851851851851,0.8629032258064516
0.011851851851851851,0.8649193548387096
0.011851851851851851,0.8669354838709677
0.011851851851851851,0.8689516129032258
0.011851851851851851,0.8709677419354839
0.011851851851851851,0.8729838709677419
0.011851851851851851,0.875
0.011851851851851851,0.8770161290322581
0.011851851851851851,0.8790322580645161
0.011851851851851851,0.8810483870967742
0.011851851851851851,0.8830645161290323
0.013333333333333334,0.8830645161290323
0.014814814814814815,0.8830645161290323
0.014814814814814815,0.8850806451612904
0.014814814814814815,0.8870967741935484
0.014814814814814815,0.8891129032258065
0.014814814814814815,0.8911290322580645
0.016296296296296295,0.8911290322580645
0.016296296296296295,0.8931451612903226
