flat_pixel_index,mean_pixel_evidence_drop,mean_pixel_evidence_drop_class0,mean_pixel_evidence_drop_class1
110,-0.00018461346917320043,-0.00038271304219961166,8.497768430970609e-05
111,-0.0001736381818773225,2.3635227989871055e-05,-0.00044210502528585494
112,0.00014563938020728528,0.0007217050297185779,-0.000638321042060852
113,0.00019884711946360767,0.0005592270172201097,-0.000291589240077883
114,0.00018868119514081627,0.00031995092285797,1.003789384412812e-05
115,0.00020538178796414286,0.0009565483196638525,-0.0008168709464371204
116,0.00012667154078371823,0.0001271079236175865,0.00012607766257133335
117,1.2718803191091865e-05,-0.0003548356471583247,0.0005129189812578261
118,-4.805967546417378e-05,-0.0004109149449504912,0.0004457453906070441
119,-0.0003566574596334249,-0.0007361668394878507,0.00015981198521330953
120,-0.0002648385416250676,-0.0007978533976711333,0.0004605344438459724
121,-5.97820762777701e-05,-0.00031540216878056526,0.00028808799106627703
122,3.948031462641666e-06,-0.00014107271272223443,0.00020130487973801792
123,0.00027311858139000833,0.0006146869855001569,-0.00019171742314938456
124,0.0005187459173612297,0.0008714771247468889,3.871855005854741e-05
125,0.00032560323597863317,0.0007657251553609967,-0.00027335298364050686
126,7.666577585041523e-05,-8.293734572362155e-05,0.0002938676334451884
127,0.00017648149514570832,9.499364387011155e-05,0.00028737730463035405
128,6.263000250328332e-05,-0.00011473549966467544,0.0003040044102817774
129,0.00013311364455148578,0.00014461491082329303,0.00011746172094717622
130,0.00010528183338465169,3.6140547308605164e-05,0.0001993753103306517
131,3.616534741013311e-06,0.0004264436720404774,-0.0005718034808523953
132,0.00016883718490134925,0.0004938687197864056,-0.00027349404990673065
133,0.00012835887901019305,7.865852967370301e-05,0.00019599545339588076
134,3.722944893524982e-05,0.0006094145937822759,-0.0007414499414153397
135,6.345213478198275e-05,1.974670885829255e-05,0.00012293030158616602
136,0.0001626605080673471,0.0003504911146592349,-9.295575728174299e-05
137,-7.932298103696667e-06,-6.917706195963547e-05,7.541492959717289e-05
138,9.257680176233407e-06,0.0004998411168344319,-0.0006583709036931396
139,0.0003857492993120104,0.0005221253959462047,0.00020015680638607591
140,8.426857675658539e-05,-2.088158180413302e-05,0.0002273661084473133
141,-1.166314905276522e-05,0.0003232697199564427,-0.000467468926217407
142,-2.7820939067169093e-05,-0.00015645910752937198,0.00014724108041264117
143,-0.00014280294999480247,1.7893138647195883e-05,-0.000361492158845067
144,-8.344166417373344e-06,0.0004714456445071846,-0.0006612838478758931
145,4.234163134242408e-05,0.0009338609525002539,-0.0011709154350683093
146,-5.6367414799751714e-05,0.0011833087773993611,-0.0017434272449463606
147,-8.33249869174324e-05,0.0004662825376726687,-0.0008312786812894046
148,8.157558681887167e-07,-8.658303158881608e-06,1.370888639939949e-05
149,-2.3831805719964905e-06,-0.0004060004430357367,0.0005468943854793906
150,0.00010199415555689484,0.0006053714314475656,-0.0005830454756505787
151,2.0572249923134223e-05,4.127899956074543e-05,-7.607290626765462e-06
152,-0.00016127756680361927,-0.00018546714272815734,-0.00012835829693358392
153,-0.0002550613135099411,-0.00038726700586266816,-7.514430035371333e-05
154,-0.00031625351402908564,-0.00029289713711477816,-0.00034803891321644187
155,-8.001866808626801e-05,0.00027797918301075697,-0.000567213399335742
156,0.0005563760059885681,0.0008687173831276596,0.00013131473679095507
157,0.0003690830199047923,0.0009543368360027671,-0.0004273814265616238
158,0.00011980421550106257,0.00035790822585113347,-0.00020422841771505773
159,1.8807097148965113e-05,-0.000146378151839599,0.00024360556562896818
160,0.00016228752792812884,0.00025337564875371754,3.832686707028188e-05
161,-4.523396273725666e-05,0.00013074239541310817,-0.00028471794212237
162,-1.3337907148525119e-05,0.0001981088862521574,-0.00030109312501735985
163,8.5377563664224e-05,0.00046770324115641415,-0.00043492461554706097
164,0.0001056845358107239,0.0005632638931274414,-0.0005170293152332306
165,6.89793741912581e-05,-2.4802331608952954e-05,0.00019660574616864324
166,0.0002382083039265126,0.00023926205176394433,0.00023677431454416364
167,0.00023382474319078028,0.0005163542227819562,-0.00015066599007695913
168,1.5832280041649938e-05,0.00022424724011216313,-0.00026779694599099457
169,-4.7150424506980926e-05,0.00044545280979946256,-0.0007175278151407838
170,0.00013715168461203575,0.00044524396071210504,-0.0002821271773427725
171,0.00024318558280356228,0.0005018269293941557,-0.00010879614274017513
172,-6.942743493709713e-05,-0.00032451559673063457,0.00027771873283199966
173,7.956189074320719e-05,0.00019339632126502693,-7.535391341662034e-05
174,7.264034502441064e-05,0.00011595699470490217,1.3691267668036744e-05
175,0.000290475640213117,0.0002470978070050478,0.00034950795816257596
176,-0.00018401836859993637,-0.00018870124768000096,-0.00017764561926014721
177,4.841305781155825e-05,0.0005415720515884459,-0.0006227206322364509
178,5.3137013310333714e-05,3.1668700103182346e-05,8.23529771878384e-05
179,-8.879807137418538e-05,-4.463592995307408e-05,-0.00014889777230564505
180,-1.9826293282676488e-05,0.0003305321151856333,-0.0004966244450770319
181,4.9090645916294307e-05,0.00019840187451336533,-0.00015410508785862476
182,0.00015135105059016496,-2.8899687094963156e-05,0.00039665200165472925
183,0.0001262825244339183,-0.0002010980388149619,0.0005718105239793658
184,-2.3032947865431197e-05,0.0001613004133105278,-0.0002738898328971118
